135CE: E(keV)=86.97, I(%)=0.418(0.014), N=7669(82660), A(Bq)=815749(8792997), chi^2_nu=31.47
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=3214(1337339), A(Bq)=28257(11757795), chi^2_nu=4.75
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=10197(1375063), A(Bq)=765294(103199809), chi^2_nu=3.94
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=10906(897), A(Bq)=1021006(129333), chi^2_nu=2.41
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=37056(893), A(Bq)=996839(105345), chi^2_nu=0.98
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=7365(1100), A(Bq)=14155(2661), chi^2_nu=0.92
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=4676(834), A(Bq)=2552548(541015), chi^2_nu=1.54
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=192130(1059), A(Bq)=821883(84373), chi^2_nu=5.33
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=32248(586), A(Bq)=106249(11971), chi^2_nu=2.27
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=806339(2093), A(Bq)=730508(82762), chi^2_nu=18.02
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=25841(2464), A(Bq)=1587714(251509), chi^2_nu=22.21
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=3771(1098), A(Bq)=8254(2602), chi^2_nu=11.19
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=3775(32777), A(Bq)=125819(1092643), chi^2_nu=5.13
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=407503(3385), A(Bq)=724517(85454), chi^2_nu=35.87
135CE: E(keV)=343.01, I(%)=0.105(0.009), N=609(4171), A(Bq)=277042(1898002), chi^2_nu=4.31
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=19265(414), A(Bq)=669592(97700), chi^2_nu=3.0
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=6706(397), A(Bq)=612263(96727), chi^2_nu=2.48
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=5010(366), A(Bq)=577125(97936), chi^2_nu=2.03
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=2849(346), A(Bq)=516317(102058), chi^2_nu=0.38
137CEg: E(keV)=436.59, I(%)=0.25(0.012), N=507(306), A(Bq)=133606(84354), chi^2_nu=2.48
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=3838(177), A(Bq)=155967(28845), chi^2_nu=0.8
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=890(206), A(Bq)=534851(167329), chi^2_nu=1.57
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=844(233), A(Bq)=658498(264521), chi^2_nu=1.85
133CEm: E(keV)=477.22, I(%)=39.3(1.965), N=2170(924), A(Bq)=4249(2013), chi^2_nu=6.41
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=16077(1018), A(Bq)=798619(160606), chi^2_nu=1.5
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=17612(1583), A(Bq)=723130(151304), chi^2_nu=18.02
135CE: E(keV)=528.35, I(%)=0.125(0.009), N=513(706), A(Bq)=364243(508499), chi^2_nu=26.34
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=5841(195), A(Bq)=845875(190484), chi^2_nu=1.49
135CE: E(keV)=562.79, I(%)=0.146(0.013), N=382(40901), A(Bq)=260391(27880694), chi^2_nu=4.68
134LA: E(keV)=563.246, I(%)=0.362(0.014), N=862(41432), A(Bq)=891999(42875323), chi^2_nu=4.7
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=3597(354), A(Bq)=594819(151144), chi^2_nu=7.0
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=88929(391), A(Bq)=878035(205823), chi^2_nu=7.13
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=42807(382), A(Bq)=868892(205783), chi^2_nu=4.3
135LA: E(keV)=587.83, I(%)=0.111(0.018), N=685(215), A(Bq)=666288(285974), chi^2_nu=2.74
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=15636(725292), A(Bq)=637496(29571387), chi^2_nu=8.95
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=24034(658114), A(Bq)=2047046(56055935), chi^2_nu=8.92
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=155062(7279), A(Bq)=948357(242604), chi^2_nu=17.66
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=2945(183), A(Bq)=911880(252073), chi^2_nu=2.08
135CE: E(keV)=665.6, I(%)=0.21(0.04), N=922(2288), A(Bq)=610174(1528731), chi^2_nu=0.7
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=22910(2237), A(Bq)=1058434(323491), chi^2_nu=0.63
132CS: E(keV)=667.714, I(%)=97.59(4.8795), N=939(381), A(Bq)=1332(663), chi^2_nu=0.93
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=2749(113), A(Bq)=1066906(318219), chi^2_nu=1.03
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=2718(140), A(Bq)=1102777(350059), chi^2_nu=2.05
135CE: E(keV)=773.0, I(%)=0.13(0.013), N=1320(1363), A(Bq)=1970911(2151973), chi^2_nu=1.4
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=794(1368), A(Bq)=712171(1253381), chi^2_nu=1.1
135CE: E(keV)=777.89, I(%)=0.364(0.022), N=1663(252), A(Bq)=900058(341043), chi^2_nu=2.08
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=61989(1395), A(Bq)=1172146(406544), chi^2_nu=5.79
133CEm: E(keV)=784.55, I(%)=9.67(0.25), N=4439(2163), A(Bq)=95006(57279), chi^2_nu=77.63
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=31013(231), A(Bq)=1382821(511159), chi^2_nu=13.41
135CE: E(keV)=834.9, I(%)=0.109(0.017), N=565(202), A(Bq)=1211108(654506), chi^2_nu=5.98
135CE: E(keV)=845.06, I(%)=0.13(0.013), N=702(196), A(Bq)=1300042(625242), chi^2_nu=4.19
135CE: E(keV)=871.35, I(%)=3.3(0.14), N=18108(199), A(Bq)=1426555(560152), chi^2_nu=6.53
135LA: E(keV)=874.51, I(%)=0.16(0.03), N=1481(200), A(Bq)=2426060(1105142), chi^2_nu=5.58
135CE: E(keV)=905.87, I(%)=1.61(0.06), N=8620(114), A(Bq)=1537549(630467), chi^2_nu=2.13
135CE: E(keV)=964.89, I(%)=0.33(0.018), N=1682(61), A(Bq)=1729049(767075), chi^2_nu=1.11
135CE: E(keV)=1149.58, I(%)=0.67(0.03), N=2793(48), A(Bq)=2318033(1231286), chi^2_nu=1.22
135CE: E(keV)=1171.42, I(%)=0.196(0.009), N=905(114), A(Bq)=2715150(1511403), chi^2_nu=3.12
135CE: E(keV)=1173.92, I(%)=0.184(0.013), N=708(108), A(Bq)=2277098(1291629), chi^2_nu=3.43
135CE: E(keV)=1184.09, I(%)=1.09(0.05), N=4547(81), A(Bq)=2533280(1386703), chi^2_nu=2.34
135CE: E(keV)=1466.9, I(%)=0.213(0.013), N=697(89), A(Bq)=3914343(2691231), chi^2_nu=3.01
