135CE: E(keV)=518.05, I(%)=13.6(0.6), N=49852(5622), A(Bq)=625265(147906), chi^2_nu=144.26
133CEm: E(keV)=541.09, I(%)=2.9(0.4), N=3501(240), A(Bq)=225820(62501), chi^2_nu=3.06
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=2087(221), A(Bq)=601229(148646), chi^2_nu=2.57
133LA: E(keV)=565.231, I(%)=0.53(0.03), N=1497(720), A(Bq)=575452(308188), chi^2_nu=3.06
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=1659(591), A(Bq)=545744(233060), chi^2_nu=1.74
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=35599(276), A(Bq)=699204(163989), chi^2_nu=5.33
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=16950(270), A(Bq)=684414(162397), chi^2_nu=3.75
133LA: E(keV)=595.94, I(%)=0.388(0.02), N=559(290), A(Bq)=324716(187567), chi^2_nu=5.29
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=15610(97245), A(Bq)=1266056(7893654), chi^2_nu=6.41
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=2529(101020), A(Bq)=256290(10237686), chi^2_nu=8.76
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=63336(847), A(Bq)=770575(194065), chi^2_nu=13.39
133CEm: E(keV)=611.83, I(%)=2.6(0.07), N=2628(349), A(Bq)=238658(71088), chi^2_nu=17.56
133CEm: E(keV)=617.7, I(%)=1.65(0.24), N=400(853), A(Bq)=58342(125764), chi^2_nu=0.54
133LA: E(keV)=618.241, I(%)=0.8(0.04), N=3616(940), A(Bq)=1095507(403080), chi^2_nu=1.93
133LA: E(keV)=621.542, I(%)=0.525(0.023), N=1686(1307), A(Bq)=786725(643992), chi^2_nu=3.43
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=873(1303), A(Bq)=537731(816109), chi^2_nu=2.05
133LA: E(keV)=632.765, I(%)=0.95(0.05), N=2912(317), A(Bq)=778665(225714), chi^2_nu=3.72
133CEm: E(keV)=644.74, I(%)=1.97(0.05), N=1789(147), A(Bq)=238482(70389), chi^2_nu=1.61
135CE: E(keV)=665.6, I(%)=0.21(0.04), N=1122(1323), A(Bq)=1477115(1814123), chi^2_nu=0.61
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=8618(1728), A(Bq)=792033(279095), chi^2_nu=1.26
132CS: E(keV)=667.714, I(%)=97.59(4.8795), N=494(225), A(Bq)=1401(757), chi^2_nu=0.33
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=1344(209), A(Bq)=1037645(347111), chi^2_nu=1.69
133CEm: E(keV)=689.48, I(%)=4.13(0.12), N=3747(207), A(Bq)=274699(85477), chi^2_nu=1.52
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=990(134), A(Bq)=799045(273429), chi^2_nu=2.23
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=624(145), A(Bq)=1113388(472779), chi^2_nu=0.73
135CE: E(keV)=777.89, I(%)=0.364(0.022), N=566(147), A(Bq)=609387(265070), chi^2_nu=1.68
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=29995(2260), A(Bq)=1128273(399682), chi^2_nu=2.63
133CEm: E(keV)=784.55, I(%)=9.67(0.25), N=4830(2313), A(Bq)=202808(120909), chi^2_nu=4.32
133CEm: E(keV)=819.47, I(%)=0.89(0.05), N=456(206), A(Bq)=230996(136476), chi^2_nu=9.77
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=12355(1623), A(Bq)=1095880(429911), chi^2_nu=2.39
133CEm: E(keV)=829.42, I(%)=1.01(0.04), N=726(1047), A(Bq)=333787(498263), chi^2_nu=3.79
133LA: E(keV)=846.183, I(%)=0.461(0.024), N=1164(193), A(Bq)=1238483(515270), chi^2_nu=3.72
133LA: E(keV)=858.496, I(%)=0.376(0.02), N=542(154), A(Bq)=733026(353421), chi^2_nu=2.76
135CE: E(keV)=871.35, I(%)=3.3(0.14), N=7123(177), A(Bq)=1116296(439152), chi^2_nu=7.77
135CE: E(keV)=905.87, I(%)=1.61(0.06), N=3706(70), A(Bq)=1314998(539745), chi^2_nu=0.98
133CEm: E(keV)=950.99, I(%)=1.28(0.03), N=778(106), A(Bq)=400617(184771), chi^2_nu=1.17
135CE: E(keV)=964.89, I(%)=0.33(0.018), N=628(126), A(Bq)=1284219(624918), chi^2_nu=2.16
133CEm: E(keV)=972.34, I(%)=0.98(0.04), N=489(104), A(Bq)=349066(174810), chi^2_nu=1.35
133CEm: E(keV)=990.13, I(%)=2.95(0.08), N=1758(228), A(Bq)=437911(209034), chi^2_nu=8.14
135CE: E(keV)=1149.58, I(%)=0.67(0.03), N=1199(139), A(Bq)=1979547(1076785), chi^2_nu=5.0
135CE: E(keV)=1184.09, I(%)=1.09(0.05), N=2171(81), A(Bq)=2406114(1320006), chi^2_nu=1.91
133CEm: E(keV)=1199.9, I(%)=1.57(0.12), N=854(99), A(Bq)=694419(400101), chi^2_nu=3.09
133CEm: E(keV)=1494.85, I(%)=3.22(0.08), N=1128(307), A(Bq)=901572(668158), chi^2_nu=20.14
133CEm: E(keV)=1500.41, I(%)=4.76(0.16), N=1817(324), A(Bq)=994751(710602), chi^2_nu=16.28
133CEm: E(keV)=1526.56, I(%)=2.48(0.08), N=878(164), A(Bq)=978027(711617), chi^2_nu=5.81
133CEm: E(keV)=1584.62, I(%)=2.4(0.08), N=737(122), A(Bq)=963808(718806), chi^2_nu=3.97
