135CE: E(keV)=86.97, I(%)=0.418(0.014), N=13783(2754), A(Bq)=1466237(331652), chi^2_nu=35.33
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=18922(3263), A(Bq)=1420252(285014), chi^2_nu=21.42
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=19047(1986), A(Bq)=1783330(252912), chi^2_nu=6.11
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=59333(1790), A(Bq)=1596266(171082), chi^2_nu=1.62
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=4534(2866), A(Bq)=8717(5600), chi^2_nu=2.44
137CEm: E(keV)=169.26, I(%)=0.45(0.04), N=1482(212643), A(Bq)=105180(15091772), chi^2_nu=9.61
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=4116(801), A(Bq)=2247073(507673), chi^2_nu=1.44
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=318114(1813), A(Bq)=1360943(139713), chi^2_nu=13.2
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=39018(767), A(Bq)=128561(14514), chi^2_nu=3.97
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=1329099(4586), A(Bq)=1204223(136456), chi^2_nu=54.75
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=46026(5685), A(Bq)=2828190(499920), chi^2_nu=85.87
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=5709(1207), A(Bq)=12496(3043), chi^2_nu=12.65
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=5629(55310), A(Bq)=187630(1843893), chi^2_nu=15.02
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=674053(6064), A(Bq)=1198545(141420), chi^2_nu=121.59
135CE: E(keV)=304.58, I(%)=0.063(0.004), N=3662(4886), A(Bq)=2462071(3301923), chi^2_nu=76.26
135CE: E(keV)=343.01, I(%)=0.105(0.009), N=1343(352), A(Bq)=611007(186481), chi^2_nu=1.43
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=31079(372), A(Bq)=1080317(156364), chi^2_nu=1.82
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=11448(364), A(Bq)=1045314(156448), chi^2_nu=2.02
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=8928(446), A(Bq)=1028559(165379), chi^2_nu=1.58
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=5209(457), A(Bq)=944106(168496), chi^2_nu=1.46
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=4061(330), A(Bq)=165061(32457), chi^2_nu=2.54
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=1676(237), A(Bq)=1007300(253648), chi^2_nu=2.6
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=1605(265), A(Bq)=1252361(418140), chi^2_nu=2.33
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=20392(992), A(Bq)=1013054(199498), chi^2_nu=4.4
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=30659(1566), A(Bq)=1258950(246330), chi^2_nu=21.41
135CE: E(keV)=485.02, I(%)=0.209(0.021), N=6917(2226), A(Bq)=2540049(979397), chi^2_nu=1096.51
133CEm: E(keV)=510.36, I(%)=20.8(0.5), N=6557(1284322), A(Bq)=27132(5314394), chi^2_nu=26.66
135CE: E(keV)=511.0, I(%)=0.76(0.12), N=14650(20269805496), A(Bq)=1614461(2233776430701), chi^2_nu=29.1
134LA: E(keV)=511.0, I(%)=127.2(1.0), N=140193(26114735301), A(Bq)=349629(65127982987), chi^2_nu=27.42
133LA: E(keV)=511.0, I(%)=14.4(1.6), N=5166(11162312732), A(Bq)=31260(67545611857), chi^2_nu=29.41
135CE: E(keV)=518.05, I(%)=13.6(0.6), N=217892(1374), A(Bq)=1373939(285761), chi^2_nu=13.65
135CE: E(keV)=528.35, I(%)=0.125(0.009), N=1318(456), A(Bq)=935907(384919), chi^2_nu=8.0
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=9835(210), A(Bq)=1424413(318443), chi^2_nu=1.37
135CE: E(keV)=562.79, I(%)=0.146(0.013), N=1291(611), A(Bq)=880101(469095), chi^2_nu=14.15
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=6039(681), A(Bq)=998739(259428), chi^2_nu=19.0
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=146855(759), A(Bq)=1450105(339932), chi^2_nu=28.34
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=70388(753), A(Bq)=1428868(338482), chi^2_nu=28.38
135LA: E(keV)=587.83, I(%)=0.111(0.018), N=1030(258), A(Bq)=1001953(384646), chi^2_nu=3.43
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=40798(9683), A(Bq)=1663540(576623), chi^2_nu=17.07
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=2006(12253), A(Bq)=172205(1052782), chi^2_nu=18.24
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=254578(4077), A(Bq)=1557147(392363), chi^2_nu=56.17
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=4778(280), A(Bq)=1479589(407526), chi^2_nu=3.69
135CE: E(keV)=663.8, I(%)=0.088(0.021), N=496(328), A(Bq)=778923(591305), chi^2_nu=0.95
135CE: E(keV)=665.6, I(%)=0.21(0.04), N=1111(2577), A(Bq)=735325(1724061), chi^2_nu=0.06
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=38568(3893), A(Bq)=1782002(546489), chi^2_nu=0.33
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=4417(157), A(Bq)=1714436(509722), chi^2_nu=1.85
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=4441(156), A(Bq)=1802027(567608), chi^2_nu=1.33
135CE: E(keV)=727.9, I(%)=0.063(0.006), N=993(158), A(Bq)=2664341(976029), chi^2_nu=1.07
135CE: E(keV)=773.0, I(%)=0.13(0.013), N=2627(8631), A(Bq)=3922794(12964088), chi^2_nu=3.66
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=998(8983), A(Bq)=895234(8064655), chi^2_nu=1.5
