133CEm: E(keV)=58.39, I(%)=19.3(0.4), N=15550(309), A(Bq)=267443(58512), chi^2_nu=1.13
135CE: E(keV)=86.97, I(%)=0.418(0.014), N=699(517236), A(Bq)=326829(241842685), chi^2_nu=3.03
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=15800(413719), A(Bq)=602070(15765251), chi^2_nu=1.12
133CEm: E(keV)=97.261, I(%)=1.76(0.04), N=6373(47371), A(Bq)=648797(4823186), chi^2_nu=0.68
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=2955(423), A(Bq)=349144(61796), chi^2_nu=0.25
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=68430(338), A(Bq)=569008(64286), chi^2_nu=0.65
132CE: E(keV)=142.18, I(%)=0.5(0.04), N=1034(287), A(Bq)=303747(92035), chi^2_nu=0.78
132CE: E(keV)=155.37, I(%)=10.5(0.5), N=20548(562), A(Bq)=282484(29234), chi^2_nu=2.34
133CEm: E(keV)=178.65, I(%)=1.22(0.04), N=2960(847), A(Bq)=346123(108290), chi^2_nu=2.01
132CE: E(keV)=182.11, I(%)=77.4(3.87), N=145966(819), A(Bq)=271732(29054), chi^2_nu=5.92
132CE: E(keV)=190.04, I(%)=2.67(0.12), N=3501(1293), A(Bq)=190055(73148), chi^2_nu=4.51
132LA: E(keV)=192.6, I(%)=1.14(0.24), N=3614(916), A(Bq)=457046(157643), chi^2_nu=7.51
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=16442(521), A(Bq)=305517(32407), chi^2_nu=0.97
132CE: E(keV)=216.83, I(%)=4.95(0.23), N=7570(476), A(Bq)=229661(29464), chi^2_nu=2.22
133CEm: E(keV)=228.59, I(%)=0.381(0.02), N=1009(694), A(Bq)=403022(283111), chi^2_nu=2.35
133CEm: E(keV)=248.95, I(%)=1.34(0.03), N=2905(467), A(Bq)=344574(71973), chi^2_nu=3.09
132CE: E(keV)=251.46, I(%)=2.24(0.16), N=2194(548), A(Bq)=157876(44480), chi^2_nu=1.89
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=4848(533), A(Bq)=69050(10723), chi^2_nu=2.36
133CEm: E(keV)=261.396, I(%)=1.74(0.04), N=3678(629), A(Bq)=346112(75387), chi^2_nu=9.86
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=72595(688), A(Bq)=283057(31432), chi^2_nu=2.54
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=3671(700), A(Bq)=970413(221334), chi^2_nu=2.07
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=1041(424), A(Bq)=9819(4178), chi^2_nu=1.08
133LA: E(keV)=278.835, I(%)=2.44(0.13), N=10433(22082), A(Bq)=736051(1560381), chi^2_nu=0.42
132CE: E(keV)=279.12, I(%)=1.94(0.23), N=8920(23520), A(Bq)=794455(2098831), chi^2_nu=0.57
133LA: E(keV)=290.06, I(%)=1.38(0.06), N=10359(860), A(Bq)=1332146(191395), chi^2_nu=0.5
133LA: E(keV)=291.17, I(%)=0.425(0.019), N=1803(3080), A(Bq)=755184(1293391), chi^2_nu=0.32
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=36204(1504), A(Bq)=275537(33396), chi^2_nu=1.36
133LA: E(keV)=302.38, I(%)=1.61(0.08), N=12004(2229), A(Bq)=1369753(304282), chi^2_nu=1.16
132CE: E(keV)=303.12, I(%)=2.09(0.16), N=992(7254), A(Bq)=87642(641084), chi^2_nu=1.51
132LA: E(keV)=305.85, I(%)=0.5(0.07), N=717(6302), A(Bq)=264805(2328152), chi^2_nu=5.58
133CEm: E(keV)=307.3, I(%)=0.94(0.04), N=1389(653), A(Bq)=273891(135055), chi^2_nu=2.28
132CE: E(keV)=329.64, I(%)=2.32(0.16), N=2500(280), A(Bq)=215101(38732), chi^2_nu=1.04
133CEm: E(keV)=339.03, I(%)=0.98(0.06), N=2293(384), A(Bq)=476608(109975), chi^2_nu=0.59
133CEm: E(keV)=346.39, I(%)=4.17(0.08), N=8092(397), A(Bq)=404289(63101), chi^2_nu=8.48
133CEm: E(keV)=364.19, I(%)=1.26(0.03), N=1807(710), A(Bq)=315763(133417), chi^2_nu=4.01
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=988(332), A(Bq)=145216(52991), chi^2_nu=5.64
133CEm: E(keV)=392.16, I(%)=0.318(0.02), N=389(836), A(Bq)=294245(634839), chi^2_nu=0.76
133CEm: E(keV)=397.75, I(%)=0.601(0.024), N=744(211271), A(Bq)=303136(86080947), chi^2_nu=2.49
133CEm: E(keV)=404.78, I(%)=1.7(0.04), N=2149(293), A(Bq)=316593(67971), chi^2_nu=2.61
133CEm: E(keV)=410.39, I(%)=0.723(0.024), N=2089(329), A(Bq)=736773(170245), chi^2_nu=2.98
133CEm: E(keV)=419.16, I(%)=0.472(0.024), N=739(258), A(Bq)=410663(161208), chi^2_nu=2.67
133CEm: E(keV)=422.92, I(%)=0.711(0.024), N=1074(397), A(Bq)=401032(164103), chi^2_nu=1.37
132CE: E(keV)=424.67, I(%)=1.16(0.08), N=447(982), A(Bq)=103729(228780), chi^2_nu=1.69
133CEm: E(keV)=432.55, I(%)=3.54(0.08), N=5912(283), A(Bq)=457371(82401), chi^2_nu=1.2
133CEm: E(keV)=444.2, I(%)=1.38(0.14), N=2348(1254), A(Bq)=483844(276756), chi^2_nu=2.24
133CEm: E(keV)=444.2, I(%)=0.94(0.09), N=826(1291), A(Bq)=249884(394120), chi^2_nu=2.46
132CE: E(keV)=451.44, I(%)=2.24(0.16), N=662(287), A(Bq)=86741(40784), chi^2_nu=2.35
133CEm: E(keV)=453.27, I(%)=1.0(0.04), N=1262(313), A(Bq)=369561(114532), chi^2_nu=0.93
132LA: E(keV)=464.55, I(%)=76.0(6.0), N=135064(615), A(Bq)=539997(100991), chi^2_nu=16.82
133CEm: E(keV)=475.49, I(%)=3.18(0.08), N=4666(11209), A(Bq)=461705(1112670), chi^2_nu=8.7
133CEm: E(keV)=477.22, I(%)=39.3(1.965), N=41990(186810223), A(Bq)=338088(1504130855), chi^2_nu=4.59
7BE: E(keV)=477.6035, I(%)=10.44(0.04), N=17774(184101290), A(Bq)=528330(5472390652), chi^2_nu=2.28
132LA: E(keV)=479.47, I(%)=2.2(0.2), N=4506(5202), A(Bq)=653120(765085), chi^2_nu=1.17
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=1501(2794), A(Bq)=310942(581566), chi^2_nu=1.76
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=885(511), A(Bq)=151395(91554), chi^2_nu=2.66
133CEm: E(keV)=510.36, I(%)=20.8(0.5), N=114166(4715881), A(Bq)=1932886(79843167), chi^2_nu=50.17
133CEg: E(keV)=511.0, I(%)=74.0(15.0), N=3987(24491434217), A(Bq)=19823(121774366266), chi^2_nu=88.94
133CEm: E(keV)=511.0, I(%)=7.9(0.9), N=16702(53564706521), A(Bq)=746052(2392651592174), chi^2_nu=168.01
134LA: E(keV)=511.0, I(%)=127.2(1.0), N=139131(6049243), A(Bq)=845224(36749661), chi^2_nu=36.26
133LA: E(keV)=511.0, I(%)=14.4(1.6), N=90813(53579950941), A(Bq)=2237092(1319891662973), chi^2_nu=157.77
132LA: E(keV)=511.0, I(%)=84.0(3.0), N=112962(24502772282), A(Bq)=474753(102979604490), chi^2_nu=66.93
132LA: E(keV)=515.78, I(%)=5.0(0.6), N=7309(7155), A(Bq)=524063(526617), chi^2_nu=72.9
135CE: E(keV)=518.05, I(%)=13.6(0.6), N=9373(2011), A(Bq)=245072(70949), chi^2_nu=77.13
133CEm: E(keV)=523.76, I(%)=3.14(0.08), N=2072(1272), A(Bq)=242608(157512), chi^2_nu=266.05
132LA: E(keV)=540.363, I(%)=7.7(0.7), N=12686(1292), A(Bq)=639114(156412), chi^2_nu=2.09
133CEm: E(keV)=541.09, I(%)=2.9(0.4), N=2336(1318), A(Bq)=313070(194066), chi^2_nu=0.35
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=435(155), A(Bq)=260276(108362), chi^2_nu=1.3
133LA: E(keV)=565.231, I(%)=0.53(0.03), N=1361(477837), A(Bq)=1083527(380418718), chi^2_nu=6.0
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=900(3776617), A(Bq)=613248(2573337750), chi^2_nu=2.01
133LA: E(keV)=567.26, I(%)=0.205(0.013), N=856(3425826), A(Bq)=1773273(7096879283), chi^2_nu=0.15
132LA: E(keV)=567.14, I(%)=15.7(1.5), N=20377(41648), A(Bq)=548337(1128188), chi^2_nu=1.33
132LA: E(keV)=569.1, I(%)=0.76(0.16), N=1856(4945), A(Bq)=1038181(2783964), chi^2_nu=1.26
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=7770(260), A(Bq)=315891(69754), chi^2_nu=1.28
132CE: E(keV)=576.38, I(%)=1.01(0.08), N=437(1570), A(Bq)=189696(683012), chi^2_nu=2.31
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=3136(1466), A(Bq)=261942(135418), chi^2_nu=1.81
133LA: E(keV)=584.734, I(%)=0.171(0.009), N=344(232), A(Bq)=902910(646560), chi^2_nu=3.7
133LA: E(keV)=595.94, I(%)=0.388(0.02), N=1565(194), A(Bq)=1875430(494627), chi^2_nu=1.28
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=3039(52072), A(Bq)=508105(8707146), chi^2_nu=0.44
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=679(60559), A(Bq)=140271(12510896), chi^2_nu=0.37
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=13662(16826), A(Bq)=342556(429432), chi^2_nu=0.24
133CEm: E(keV)=611.83, I(%)=2.6(0.07), N=2348(180), A(Bq)=439053(114605), chi^2_nu=2.89
133CEm: E(keV)=617.7, I(%)=1.65(0.24), N=5126(1690), A(Bq)=1538340(675060), chi^2_nu=0.57
133LA: E(keV)=618.241, I(%)=0.8(0.04), N=501(1653), A(Bq)=312254(1033512), chi^2_nu=0.6
133CEm: E(keV)=621.8, I(%)=0.55(0.24), N=651(2138), A(Bq)=593648(1973467), chi^2_nu=0.03
133LA: E(keV)=621.542, I(%)=0.525(0.023), N=1602(2045), A(Bq)=1537218(1997939), chi^2_nu=1.69
133LA: E(keV)=632.765, I(%)=0.95(0.05), N=3737(162), A(Bq)=2052062(520220), chi^2_nu=2.05
133CEm: E(keV)=644.74, I(%)=1.97(0.05), N=2311(168), A(Bq)=631767(173372), chi^2_nu=0.67
132LA: E(keV)=654.03, I(%)=0.34(0.03), N=643(160), A(Bq)=1048537(389944), chi^2_nu=5.15
132LA: E(keV)=663.07, I(%)=9.0(0.8), N=11125(186), A(Bq)=704647(195422), chi^2_nu=1.43
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=2025(286), A(Bq)=380786(116277), chi^2_nu=1.47
133CEm: E(keV)=678.3, I(%)=0.55(0.06), N=984(195), A(Bq)=1068025(384849), chi^2_nu=3.57
133CEm: E(keV)=689.48, I(%)=4.13(0.12), N=4710(163), A(Bq)=704343(202716), chi^2_nu=2.16
132LA: E(keV)=697.68, I(%)=0.94(0.08), N=909(144), A(Bq)=612523(204468), chi^2_nu=0.86
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=2082(1771), A(Bq)=158087(143819), chi^2_nu=2.64
133CEm: E(keV)=784.55, I(%)=9.67(0.25), N=12935(1701), A(Bq)=1095972(390036), chi^2_nu=2.03
133CEm: E(keV)=819.47, I(%)=0.89(0.05), N=628(185), A(Bq)=639506(294089), chi^2_nu=11.13
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=3327(906), A(Bq)=592805(260031), chi^2_nu=1.08
133LA: E(keV)=846.183, I(%)=0.461(0.024), N=1380(135), A(Bq)=2942963(1082690), chi^2_nu=5.39
133LA: E(keV)=858.496, I(%)=0.376(0.02), N=1128(132), A(Bq)=3053758(1159275), chi^2_nu=1.51
133CEm: E(keV)=862.29, I(%)=0.696(0.024), N=491(133), A(Bq)=722026(331998), chi^2_nu=1.65
135CE: E(keV)=871.35, I(%)=3.3(0.14), N=1501(126), A(Bq)=470400(176585), chi^2_nu=2.79
132LA: E(keV)=881.57, I(%)=0.93(0.08), N=772(119), A(Bq)=897120(368908), chi^2_nu=2.13
132LA: E(keV)=899.32, I(%)=4.6(0.4), N=4245(120), A(Bq)=1047722(407689), chi^2_nu=2.17
135CE: E(keV)=905.87, I(%)=1.61(0.06), N=1039(112), A(Bq)=734619(291891), chi^2_nu=3.4
133CEm: E(keV)=950.99, I(%)=1.28(0.03), N=954(174), A(Bq)=974197(437713), chi^2_nu=4.74
133CEm: E(keV)=972.34, I(%)=0.98(0.04), N=703(130), A(Bq)=993090(458206), chi^2_nu=3.05
133CEm: E(keV)=990.13, I(%)=2.95(0.08), N=1973(184), A(Bq)=970905(425707), chi^2_nu=4.54
132LA: E(keV)=1031.7, I(%)=7.8(0.7), N=6378(125), A(Bq)=1324933(596374), chi^2_nu=2.58
132LA: E(keV)=1046.56, I(%)=3.4(0.3), N=2811(131), A(Bq)=1392435(638741), chi^2_nu=2.62
133CEm: E(keV)=1199.9, I(%)=1.57(0.12), N=919(178), A(Bq)=1448194(814607), chi^2_nu=6.03
132LA: E(keV)=1221.23, I(%)=2.93(0.24), N=2010(180), A(Bq)=1787948(965504), chi^2_nu=5.89
133CEm: E(keV)=1494.85, I(%)=3.22(0.08), N=1389(312), A(Bq)=2100873(1434805), chi^2_nu=16.63
133CEm: E(keV)=1500.41, I(%)=4.76(0.16), N=2058(318), A(Bq)=2131223(1418161), chi^2_nu=13.62
132LA: E(keV)=1604.03, I(%)=3.6(0.3), N=1555(254), A(Bq)=2655428(1878484), chi^2_nu=10.4
132LA: E(keV)=1909.91, I(%)=9.0(0.8), N=2930(742), A(Bq)=3674186(3085270), chi^2_nu=28.85
