133CEm: E(keV)=58.39, I(%)=19.3(0.4), N=6187(617), A(Bq)=24643(5975), chi^2_nu=3.68
135CE: E(keV)=86.97, I(%)=0.418(0.014), N=5837(55261), A(Bq)=620678(5876598), chi^2_nu=11.76
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=5971(1067695), A(Bq)=52435(9376195), chi^2_nu=0.02
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=3728(1061049), A(Bq)=279698(79606830), chi^2_nu=0.01
133CEm: E(keV)=97.261, I(%)=1.76(0.04), N=2346(707), A(Bq)=55032(17871), chi^2_nu=2.58
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=5953(633), A(Bq)=557131(80128), chi^2_nu=1.71
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=19593(630), A(Bq)=526897(56859), chi^2_nu=0.48
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=28478(792), A(Bq)=54671(6397), chi^2_nu=2.45
137CEm: E(keV)=169.26, I(%)=0.45(0.04), N=1322(154808), A(Bq)=93804(10984705), chi^2_nu=7.46
133CEm: E(keV)=178.65, I(%)=1.22(0.04), N=5205(1509), A(Bq)=141361(44712), chi^2_nu=6.29
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=100183(708), A(Bq)=428418(44031), chi^2_nu=3.25
133CEm: E(keV)=248.95, I(%)=1.34(0.03), N=1040(6549), A(Bq)=28960(182415), chi^2_nu=3.55
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=25809(503), A(Bq)=85020(9601), chi^2_nu=1.4
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=423587(1750), A(Bq)=383626(43482), chi^2_nu=23.99
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=12943(1893), A(Bq)=794981(153846), chi^2_nu=29.78
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=2932(753), A(Bq)=6416(1823), chi^2_nu=7.56
133LA: E(keV)=278.835, I(%)=2.44(0.13), N=7083(757), A(Bq)=118411(19256), chi^2_nu=1.72
133LA: E(keV)=290.06, I(%)=1.38(0.06), N=3665(2200), A(Bq)=111879(68521), chi^2_nu=1.57
133LA: E(keV)=291.17, I(%)=0.425(0.019), N=732(25861), A(Bq)=72792(2571736), chi^2_nu=0.04
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=3325(1559), A(Bq)=110784(54767), chi^2_nu=4.46
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=212019(2020), A(Bq)=376835(44485), chi^2_nu=2.22
133LA: E(keV)=302.38, I(%)=1.61(0.08), N=5699(881), A(Bq)=154666(30860), chi^2_nu=1.54
133CEm: E(keV)=346.39, I(%)=4.17(0.08), N=1617(519), A(Bq)=19256(6868), chi^2_nu=15.66
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=9552(326), A(Bq)=331890(49277), chi^2_nu=0.93
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=3146(308), A(Bq)=287139(50727), chi^2_nu=1.5
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=2877(367), A(Bq)=331307(66177), chi^2_nu=2.02
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=1112(316), A(Bq)=201459(65534), chi^2_nu=2.04
133CEm: E(keV)=404.78, I(%)=1.7(0.04), N=490(1113), A(Bq)=17357(39572), chi^2_nu=1.99
133CEm: E(keV)=432.55, I(%)=3.54(0.08), N=2040(258), A(Bq)=38100(8495), chi^2_nu=2.12
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=2874(298), A(Bq)=116718(24178), chi^2_nu=0.73
132LA: E(keV)=464.55, I(%)=76.0(6.0), N=1050(293), A(Bq)=1018(349), chi^2_nu=3.68
133CEm: E(keV)=475.49, I(%)=3.18(0.08), N=1384(4625), A(Bq)=33261(111368), chi^2_nu=13.2
133CEm: E(keV)=477.22, I(%)=39.3(1.965), N=18249(162402), A(Bq)=35695(317748), chi^2_nu=3.26
7BE: E(keV)=477.6035, I(%)=10.44(0.04), N=2454(167208), A(Bq)=17399(1185541), chi^2_nu=0.37
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=12258(1036), A(Bq)=608731(127110), chi^2_nu=0.64
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=8339(1489), A(Bq)=342279(89040), chi^2_nu=8.1
133CEm: E(keV)=541.09, I(%)=2.9(0.4), N=1309(196), A(Bq)=42986(13234), chi^2_nu=4.81
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=2760(190), A(Bq)=399564(93336), chi^2_nu=0.92
135CE: E(keV)=562.79, I(%)=0.146(0.013), N=459(3456), A(Bq)=312777(2356304), chi^2_nu=2.24
134LA: E(keV)=563.246, I(%)=0.362(0.014), N=722(3416), A(Bq)=727547(3447369), chi^2_nu=1.64
133LA: E(keV)=565.231, I(%)=0.53(0.03), N=609(400), A(Bq)=119725(83657), chi^2_nu=0.46
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=2274(417), A(Bq)=375918(111990), chi^2_nu=4.59
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=46398(320), A(Bq)=457958(107389), chi^2_nu=7.59
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=22013(311), A(Bq)=446672(105921), chi^2_nu=3.72
135LA: E(keV)=587.83, I(%)=0.111(0.018), N=402(229), A(Bq)=390903(250957), chi^2_nu=11.45
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=17939(27603), A(Bq)=731154(1140124), chi^2_nu=8.32
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=13190(22421), A(Bq)=1093989(1880004), chi^2_nu=3.94
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=79526(2088), A(Bq)=486221(122941), chi^2_nu=12.53
133CEm: E(keV)=611.83, I(%)=2.6(0.07), N=712(257), A(Bq)=32919(14838), chi^2_nu=13.48
133CEm: E(keV)=617.7, I(%)=1.65(0.24), N=567(5545), A(Bq)=42104(412038), chi^2_nu=3.66
133LA: E(keV)=618.241, I(%)=0.8(0.04), N=1125(5211), A(Bq)=174310(808715), chi^2_nu=2.87
133LA: E(keV)=621.542, I(%)=0.525(0.023), N=1218(2524), A(Bq)=290667(607361), chi^2_nu=1.31
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=863(2590), A(Bq)=267129(805115), chi^2_nu=2.8
133LA: E(keV)=632.765, I(%)=0.95(0.05), N=1566(258), A(Bq)=214158(67599), chi^2_nu=1.68
133CEm: E(keV)=644.74, I(%)=1.97(0.05), N=677(121), A(Bq)=45947(15483), chi^2_nu=1.94
