135CE: E(keV)=86.97, I(%)=0.418(0.014), N=8996(125385), A(Bq)=956715(13335061), chi^2_nu=18.94
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=1977(1824557), A(Bq)=17369(16030188), chi^2_nu=4.47
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=11528(1858698), A(Bq)=865018(139469840), chi^2_nu=3.74
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=14088(1122), A(Bq)=1318643(164718), chi^2_nu=3.15
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=42302(1054), A(Bq)=1137739(120432), chi^2_nu=0.37
137CEm: E(keV)=169.26, I(%)=0.45(0.04), N=1193(132463), A(Bq)=84657(9399831), chi^2_nu=7.6
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=3214(956), A(Bq)=1754125(559611), chi^2_nu=2.26
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=223136(827), A(Bq)=954333(97890), chi^2_nu=3.48
135LA: E(keV)=220.94, I(%)=0.054(0.009), N=593(12588), A(Bq)=373986(7939472), chi^2_nu=5.22
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=32012(632), A(Bq)=105461(11910), chi^2_nu=3.28
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=934059(3665), A(Bq)=846052(95884), chi^2_nu=56.12
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=26953(4208), A(Bq)=1655714(332730), chi^2_nu=84.39
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=4516(1079), A(Bq)=9883(2646), chi^2_nu=12.99
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=5335(5157), A(Bq)=177778(174096), chi^2_nu=6.22
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=471314(4047), A(Bq)=837806(98832), chi^2_nu=50.45
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=22392(279), A(Bq)=778126(112692), chi^2_nu=2.06
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=7785(270), A(Bq)=710638(106913), chi^2_nu=1.91
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=6628(370), A(Bq)=763362(124312), chi^2_nu=1.93
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=3583(361), A(Bq)=649212(120394), chi^2_nu=1.08
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=3584(210), A(Bq)=145589(27444), chi^2_nu=1.39
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=1048(201), A(Bq)=629679(178868), chi^2_nu=0.72
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=935(217), A(Bq)=729355(271469), chi^2_nu=1.66
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=19909(896), A(Bq)=988797(193876), chi^2_nu=0.98
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=21349(1385), A(Bq)=876397(175056), chi^2_nu=14.46
135CE: E(keV)=485.02, I(%)=0.209(0.021), N=5020(1989), A(Bq)=1842896(828586), chi^2_nu=945.38
135CE: E(keV)=528.35, I(%)=0.125(0.009), N=718(513), A(Bq)=509700(381803), chi^2_nu=15.59
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=6717(206), A(Bq)=972545(218579), chi^2_nu=2.0
134LA: E(keV)=563.246, I(%)=0.362(0.014), N=632(231125), A(Bq)=643699(235404352), chi^2_nu=6.69
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=4179(428), A(Bq)=690927(176577), chi^2_nu=10.68
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=103392(476), A(Bq)=1020635(239251), chi^2_nu=9.32
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=49851(467), A(Bq)=1011673(239609), chi^2_nu=7.2
135LA: E(keV)=587.83, I(%)=0.111(0.018), N=1002(209), A(Bq)=974457(349028), chi^2_nu=3.09
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=24265(16123445498), A(Bq)=989116(657241794037), chi^2_nu=4.68
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=11413(16122883160), A(Bq)=956775(1351615431627), chi^2_nu=4.86
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=178855(1622), A(Bq)=1093661(275201), chi^2_nu=18.03
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=3520(220), A(Bq)=1089709(301267), chi^2_nu=2.95
135CE: E(keV)=663.8, I(%)=0.088(0.021), N=289(1137), A(Bq)=453715(1793405), chi^2_nu=0.48
135CE: E(keV)=665.6, I(%)=0.21(0.04), N=846(2930), A(Bq)=559769(1948429), chi^2_nu=0.13
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=25241(10062), A(Bq)=1165898(574495), chi^2_nu=0.2
132CS: E(keV)=667.714, I(%)=97.59(4.8795), N=1707(9091), A(Bq)=2423(12923), chi^2_nu=0.31
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=2985(113), A(Bq)=1158273(344905), chi^2_nu=1.28
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=3078(114), A(Bq)=1248596(393762), chi^2_nu=2.16
135CE: E(keV)=727.9, I(%)=0.063(0.006), N=743(122), A(Bq)=1992977(735967), chi^2_nu=1.35
135CE: E(keV)=773.0, I(%)=0.13(0.013), N=1821(5725), A(Bq)=2718431(8600910), chi^2_nu=2.43
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=599(5889), A(Bq)=537162(5285161), chi^2_nu=1.31
135CE: E(keV)=777.89, I(%)=0.364(0.022), N=2139(513), A(Bq)=1157456(488381), chi^2_nu=2.18
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=76133(534), A(Bq)=1439313(498251), chi^2_nu=24.04
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=35944(266), A(Bq)=1602374(592305), chi^2_nu=15.64
135CE: E(keV)=834.9, I(%)=0.109(0.017), N=869(247), A(Bq)=1862386(920218), chi^2_nu=6.47
135CE: E(keV)=845.06, I(%)=0.13(0.013), N=743(217), A(Bq)=1375702(671827), chi^2_nu=4.74
135CE: E(keV)=871.35, I(%)=3.3(0.14), N=21165(247), A(Bq)=1667062(654606), chi^2_nu=10.43
135LA: E(keV)=874.51, I(%)=0.16(0.03), N=1890(258), A(Bq)=3095505(1410892), chi^2_nu=11.86
135CE: E(keV)=905.87, I(%)=1.61(0.06), N=10195(111), A(Bq)=1818127(745350), chi^2_nu=1.36
135CE: E(keV)=964.89, I(%)=0.33(0.018), N=2181(65), A(Bq)=2241570(993076), chi^2_nu=1.44
135CE: E(keV)=984.3, I(%)=0.084(0.008), N=347(45), A(Bq)=1478563(708264), chi^2_nu=1.09
135CE: E(keV)=1139.43, I(%)=0.088(0.008), N=369(40), A(Bq)=2271034(1237941), chi^2_nu=1.46
135CE: E(keV)=1149.58, I(%)=0.67(0.03), N=3150(44), A(Bq)=2613812(1388048), chi^2_nu=1.0
135CE: E(keV)=1171.42, I(%)=0.196(0.009), N=976(112), A(Bq)=2927590(1622086), chi^2_nu=2.46
135CE: E(keV)=1173.92, I(%)=0.184(0.013), N=803(102), A(Bq)=2582137(1447338), chi^2_nu=2.31
135CE: E(keV)=1184.09, I(%)=1.09(0.05), N=5153(79), A(Bq)=2870342(1570922), chi^2_nu=3.08
135CE: E(keV)=1214.13, I(%)=0.1(0.013), N=514(44), A(Bq)=3366098(1959039), chi^2_nu=1.33
135CE: E(keV)=1232.98, I(%)=0.096(0.009), N=437(27), A(Bq)=3124571(1814832), chi^2_nu=0.85
135CE: E(keV)=1466.9, I(%)=0.213(0.013), N=710(80), A(Bq)=3986573(2730033), chi^2_nu=3.31
135CE: E(keV)=1767.0, I(%)=0.121(0.013), N=292(66), A(Bq)=5507730(4598966), chi^2_nu=4.21
