135CE: E(keV)=86.97, I(%)=0.418(0.014), N=7873(1647), A(Bq)=1665875(391038), chi^2_nu=19.63
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=10660(1915), A(Bq)=1591465(329519), chi^2_nu=16.49
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=11035(794), A(Bq)=2055035(247172), chi^2_nu=2.2
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=35536(770), A(Bq)=1901600(199966), chi^2_nu=0.54
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=3152(1435), A(Bq)=11883(5581), chi^2_nu=0.97
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=2169(35949), A(Bq)=2355283(39037550), chi^2_nu=1.81
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=185393(1420), A(Bq)=1577583(162172), chi^2_nu=12.89
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=20755(452), A(Bq)=136385(15464), chi^2_nu=2.32
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=777231(2421), A(Bq)=1400688(158708), chi^2_nu=20.63
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=31692(3116), A(Bq)=3873438(620506), chi^2_nu=30.86
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=3058(749), A(Bq)=13353(3653), chi^2_nu=9.51
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=3254(28214), A(Bq)=215740(1870895), chi^2_nu=31.27
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=391658(4527), A(Bq)=1385189(163758), chi^2_nu=35.58
133LA: E(keV)=302.38, I(%)=1.61(0.08), N=5752(5091), A(Bq)=305188(272886), chi^2_nu=21.24
135CE: E(keV)=343.01, I(%)=0.105(0.009), N=541(1213), A(Bq)=489564(1100577), chi^2_nu=1.65
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=18459(238), A(Bq)=1276244(184922), chi^2_nu=1.68
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=6880(233), A(Bq)=1249531(187832), chi^2_nu=0.98
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=5141(319), A(Bq)=1178052(194657), chi^2_nu=0.63
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=3070(321), A(Bq)=1106743(207771), chi^2_nu=0.46
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=2373(189), A(Bq)=190833(37482), chi^2_nu=1.35
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=1018(168), A(Bq)=1216955(324630), chi^2_nu=1.15
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=572(173), A(Bq)=887753(374051), chi^2_nu=1.76
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=9139(540), A(Bq)=903510(180638), chi^2_nu=3.9
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=18079(837), A(Bq)=1476613(287248), chi^2_nu=8.1
135CE: E(keV)=485.02, I(%)=0.209(0.021), N=3638(1184), A(Bq)=2657227(1033560), chi^2_nu=670.7
133CEm: E(keV)=510.36, I(%)=20.8(0.5), N=5145(244053), A(Bq)=41747(1980329), chi^2_nu=1.81
135CE: E(keV)=511.0, I(%)=0.76(0.12), N=40451(1601264), A(Bq)=8866680(350997241), chi^2_nu=1.64
134LA: E(keV)=511.0, I(%)=127.2(1.0), N=38661(1415841), A(Bq)=113395(4152840), chi^2_nu=2.87
133LA: E(keV)=511.0, I(%)=14.4(1.6), N=597(2700), A(Bq)=7049(31927), chi^2_nu=0.47
135CE: E(keV)=518.05, I(%)=13.6(0.6), N=127492(654), A(Bq)=1599008(332534), chi^2_nu=15.59
135CE: E(keV)=528.35, I(%)=0.125(0.009), N=605(335), A(Bq)=854504(511229), chi^2_nu=5.05
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=5722(142), A(Bq)=1648357(369370), chi^2_nu=1.05
135CE: E(keV)=562.79, I(%)=0.146(0.013), N=666(320), A(Bq)=903071(487679), chi^2_nu=9.07
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=3434(399), A(Bq)=1129611(295346), chi^2_nu=12.13
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=85546(455), A(Bq)=1680166(393887), chi^2_nu=18.19
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=41714(454), A(Bq)=1684290(399038), chi^2_nu=17.18
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=22201(1318382839), A(Bq)=1800564(106924591228), chi^2_nu=15.26
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=1929(1317915156), A(Bq)=194755(133059193406), chi^2_nu=15.65
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=150144(2210), A(Bq)=1826663(460140), chi^2_nu=38.88
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=2780(207), A(Bq)=1712306(478706), chi^2_nu=3.04
135CE: E(keV)=663.8, I(%)=0.088(0.021), N=319(503), A(Bq)=996426(1616582), chi^2_nu=1.5
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=22628(1362), A(Bq)=2079548(615154), chi^2_nu=0.65
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=2565(139), A(Bq)=1980263(594878), chi^2_nu=2.13
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=2637(94), A(Bq)=2128297(670993), chi^2_nu=1.22
135CE: E(keV)=773.0, I(%)=0.13(0.013), N=334(1342), A(Bq)=992027(4004206), chi^2_nu=1.95
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=1583(1426), A(Bq)=2824416(2734357), chi^2_nu=2.54
135CE: E(keV)=777.89, I(%)=0.364(0.022), N=1538(338), A(Bq)=1655842(680783), chi^2_nu=2.46
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=63667(371), A(Bq)=2394779(828964), chi^2_nu=18.37
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=29887(243), A(Bq)=2650870(979936), chi^2_nu=10.1
135CE: E(keV)=834.9, I(%)=0.109(0.017), N=1067(354), A(Bq)=4549703(2378307), chi^2_nu=15.56
