135CE: E(keV)=86.97, I(%)=0.418(0.014), N=6417(184077), A(Bq)=682415(19575840), chi^2_nu=23.77
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=1997(1441242), A(Bq)=17542(12660746), chi^2_nu=13.3
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=7395(1376676), A(Bq)=554872(103296773), chi^2_nu=0.68
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=9284(1265), A(Bq)=868954(145107), chi^2_nu=3.71
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=28830(1163), A(Bq)=775372(85724), chi^2_nu=3.11
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=5100(1088), A(Bq)=9794(2372), chi^2_nu=1.45
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=3744(1310), A(Bq)=2043309(752461), chi^2_nu=4.37
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=155310(717), A(Bq)=664222(68163), chi^2_nu=2.9
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=28841(645), A(Bq)=95012(10778), chi^2_nu=3.2
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=656107(2724), A(Bq)=594266(67355), chi^2_nu=37.89
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=18572(3053), A(Bq)=1140828(236677), chi^2_nu=58.19
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=3154(801), A(Bq)=6902(1943), chi^2_nu=6.19
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=4112(2288), A(Bq)=137019(79189), chi^2_nu=2.07
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=330684(2802), A(Bq)=587800(69337), chi^2_nu=18.17
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=15200(328), A(Bq)=528182(77098), chi^2_nu=2.95
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=5238(328), A(Bq)=478122(76239), chi^2_nu=1.14
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=4417(368), A(Bq)=508696(88760), chi^2_nu=0.75
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=2184(314), A(Bq)=395709(84135), chi^2_nu=1.79
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=3246(209), A(Bq)=131849(25115), chi^2_nu=1.42
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=1107(211), A(Bq)=665103(188245), chi^2_nu=2.53
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=722(210), A(Bq)=563181(232401), chi^2_nu=1.65
133CEm: E(keV)=477.22, I(%)=39.3(1.965), N=1072(593), A(Bq)=2097(1240), chi^2_nu=7.02
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=15992(884), A(Bq)=794228(157817), chi^2_nu=1.82
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=13927(1305), A(Bq)=571695(120600), chi^2_nu=14.14
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=4305(212), A(Bq)=623291(142248), chi^2_nu=2.37
135CE: E(keV)=562.79, I(%)=0.146(0.013), N=630(7022), A(Bq)=429342(4787302), chi^2_nu=2.87
134LA: E(keV)=563.246, I(%)=0.362(0.014), N=835(6027), A(Bq)=847818(6123141), chi^2_nu=2.05
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=2778(455), A(Bq)=459278(131378), chi^2_nu=7.35
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=72370(506), A(Bq)=714374(167507), chi^2_nu=17.68
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=34673(505), A(Bq)=703625(166847), chi^2_nu=8.03
135LA: E(keV)=587.83, I(%)=0.111(0.018), N=726(158), A(Bq)=706019(256791), chi^2_nu=2.05
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=650(4272), A(Bq)=26495(174302), chi^2_nu=0.36
134LA: E(keV)=604.721, I(%)=5.04(0.2), N=34113(6373), A(Bq)=2850889(894777), chi^2_nu=1.47
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=124863(783), A(Bq)=763482(192055), chi^2_nu=6.42
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=2426(186), A(Bq)=751004(210475), chi^2_nu=2.55
135CE: E(keV)=665.6, I(%)=0.21(0.04), N=470(143), A(Bq)=310971(142827), chi^2_nu=0.98
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=19047(221), A(Bq)=879760(255010), chi^2_nu=0.55
132CS: E(keV)=667.714, I(%)=97.59(4.8795), N=499(104), A(Bq)=708(253), chi^2_nu=0.19
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=2090(106), A(Bq)=810954(243279), chi^2_nu=1.16
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=2140(97), A(Bq)=868062(274905), chi^2_nu=1.32
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=1724(406), A(Bq)=1545965(656354), chi^2_nu=1.39
135CE: E(keV)=777.89, I(%)=0.364(0.022), N=1386(202), A(Bq)=749964(282549), chi^2_nu=2.58
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=51516(1464), A(Bq)=973886(338207), chi^2_nu=4.02
133CEm: E(keV)=784.55, I(%)=9.67(0.25), N=2596(1731), A(Bq)=55515(41941), chi^2_nu=4.98
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=25195(174), A(Bq)=1123143(415169), chi^2_nu=9.66
135CE: E(keV)=834.9, I(%)=0.109(0.017), N=615(163), A(Bq)=1317979(638435), chi^2_nu=5.82
135CE: E(keV)=845.06, I(%)=0.13(0.013), N=597(155), A(Bq)=1105333(519533), chi^2_nu=4.09
135CE: E(keV)=871.35, I(%)=3.3(0.14), N=14969(175), A(Bq)=1178989(462983), chi^2_nu=7.02
135LA: E(keV)=874.51, I(%)=0.16(0.03), N=1308(172), A(Bq)=2142212(973982), chi^2_nu=4.45
135CE: E(keV)=905.87, I(%)=1.61(0.06), N=7262(131), A(Bq)=1295020(531289), chi^2_nu=2.79
135CE: E(keV)=964.89, I(%)=0.33(0.018), N=1396(48), A(Bq)=1434715(636524), chi^2_nu=0.97
135CE: E(keV)=1149.58, I(%)=0.67(0.03), N=2202(38), A(Bq)=1827110(970685), chi^2_nu=0.92
135CE: E(keV)=1171.42, I(%)=0.196(0.009), N=677(90), A(Bq)=2030639(1134362), chi^2_nu=2.02
135CE: E(keV)=1173.92, I(%)=0.184(0.013), N=539(79), A(Bq)=1733149(980750), chi^2_nu=0.4
135CE: E(keV)=1184.09, I(%)=1.09(0.05), N=3523(67), A(Bq)=1962319(1074363), chi^2_nu=2.1
135CE: E(keV)=1466.9, I(%)=0.213(0.013), N=579(72), A(Bq)=3250899(2233392), chi^2_nu=2.49
134LA: E(keV)=1554.946, I(%)=0.412(0.016), N=472(70), A(Bq)=6151981(4473198), chi^2_nu=4.69
