135CE: E(keV)=86.97, I(%)=0.418(0.014), N=8973(1712), A(Bq)=953923(208292), chi^2_nu=22.76
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=12343(2105), A(Bq)=925836(184382), chi^2_nu=6.88
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=12361(759), A(Bq)=1156575(132102), chi^2_nu=1.89
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=39986(732), A(Bq)=1075058(112340), chi^2_nu=0.95
137CEm: E(keV)=169.26, I(%)=0.45(0.04), N=2571(74154), A(Bq)=182408(5261149), chi^2_nu=5.37
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=213057(876), A(Bq)=910895(93449), chi^2_nu=5.43
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=51568(445), A(Bq)=169855(18935), chi^2_nu=2.06
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=895226(3609), A(Bq)=810583(91868), chi^2_nu=80.0
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=21169(3886), A(Bq)=1299932(289829), chi^2_nu=114.23
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=6916(861), A(Bq)=15134(2623), chi^2_nu=12.2
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=7754(3118), A(Bq)=258293(111401), chi^2_nu=4.79
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=448844(3519), A(Bq)=797574(94045), chi^2_nu=31.93
135CE: E(keV)=343.01, I(%)=0.105(0.009), N=1059(189), A(Bq)=481484(114483), chi^2_nu=0.93
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=21135(273), A(Bq)=734178(106363), chi^2_nu=1.57
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=7961(269), A(Bq)=726440(109137), chi^2_nu=1.93
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=5959(277), A(Bq)=686062(109740), chi^2_nu=1.48
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=3456(277), A(Bq)=625973(109639), chi^2_nu=1.36
137CEg: E(keV)=436.59, I(%)=0.25(0.012), N=622(133), A(Bq)=163733(45616), chi^2_nu=1.14
