135CE: E(keV)=86.97, I(%)=0.418(0.014), N=6493(1173), A(Bq)=1373831(288104), chi^2_nu=12.56
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=9238(1425), A(Bq)=1379125(255767), chi^2_nu=6.14
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=9167(778), A(Bq)=1707104(219291), chi^2_nu=1.68
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=29860(720), A(Bq)=1597814(168904), chi^2_nu=0.32
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=2293(527), A(Bq)=2489851(640403), chi^2_nu=1.1
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=157103(941), A(Bq)=1336809(137279), chi^2_nu=6.44
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=18965(627), A(Bq)=124621(14470), chi^2_nu=4.51
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=662437(2149), A(Bq)=1193773(135269), chi^2_nu=25.17
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=25222(2709), A(Bq)=3082566(511610), chi^2_nu=27.88
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=2034(655), A(Bq)=8882(3058), chi^2_nu=5.17
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=2677(31156), A(Bq)=177479(2065810), chi^2_nu=5.5
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=336582(2803), A(Bq)=1190361(140403), chi^2_nu=66.97
135CE: E(keV)=304.58, I(%)=0.063(0.004), N=2214(2834), A(Bq)=2960653(3810716), chi^2_nu=41.65
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=15628(275), A(Bq)=1080475(157125), chi^2_nu=2.15
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=5562(269), A(Bq)=1010126(155922), chi^2_nu=1.18
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=4198(355), A(Bq)=961933(168461), chi^2_nu=2.47
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=2309(328), A(Bq)=832373(175862), chi^2_nu=2.63
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=2133(220), A(Bq)=171522(35565), chi^2_nu=1.94
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=941(223), A(Bq)=1124870(356065), chi^2_nu=1.63
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=671(216), A(Bq)=1041369(452629), chi^2_nu=2.23
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=8818(524), A(Bq)=871749(174389), chi^2_nu=3.68
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=15039(784), A(Bq)=1228279(240768), chi^2_nu=9.4
135CE: E(keV)=485.02, I(%)=0.209(0.021), N=3237(1140), A(Bq)=2364256(973321), chi^2_nu=681.75
135CE: E(keV)=528.35, I(%)=0.125(0.009), N=463(374), A(Bq)=653921(548839), chi^2_nu=10.75
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=4865(163), A(Bq)=1401432(315736), chi^2_nu=1.51
