133CEm: E(keV)=58.39, I(%)=19.3(0.4), N=15233(383), A(Bq)=261684(57396), chi^2_nu=2.66
135CE: E(keV)=86.97, I(%)=0.418(0.014), N=664(140582), A(Bq)=310363(65710539), chi^2_nu=4.22
133CEm: E(keV)=87.939, I(%)=5.15(0.12), N=17416(28443), A(Bq)=662872(1085935), chi^2_nu=0.7
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=695(696890), A(Bq)=229222(229845633), chi^2_nu=0.01
133CEg: E(keV)=97.261, I(%)=46.0(7.0), N=3091(8354477736), A(Bq)=12509(33811530405), chi^2_nu=4.77
133CEm: E(keV)=97.261, I(%)=1.76(0.04), N=5402(8356133650), A(Bq)=549301(849692795628), chi^2_nu=4.51
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=4667(484), A(Bq)=551243(80670), chi^2_nu=1.06
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=68359(573), A(Bq)=567752(64260), chi^2_nu=2.31
132CE: E(keV)=155.37, I(%)=10.5(0.5), N=856(286), A(Bq)=11748(4125), chi^2_nu=1.51
133CEm: E(keV)=178.65, I(%)=1.22(0.04), N=4188(416), A(Bq)=489145(78308), chi^2_nu=1.0
132CE: E(keV)=182.11, I(%)=77.4(3.87), N=7567(432), A(Bq)=14063(1710), chi^2_nu=2.08
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=24830(362), A(Bq)=461229(47123), chi^2_nu=1.21
133CEm: E(keV)=248.95, I(%)=1.34(0.03), N=3573(332), A(Bq)=423313(68722), chi^2_nu=2.16
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=6399(350), A(Bq)=91126(11144), chi^2_nu=3.29
133CEm: E(keV)=261.396, I(%)=1.74(0.04), N=3799(552), A(Bq)=357080(70802), chi^2_nu=10.58
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=104746(603), A(Bq)=408285(45226), chi^2_nu=3.91
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=3129(635), A(Bq)=826868(197294), chi^2_nu=3.69
133LA: E(keV)=290.06, I(%)=1.38(0.06), N=8905(674), A(Bq)=1143489(159660), chi^2_nu=1.01
133LA: E(keV)=291.17, I(%)=0.425(0.019), N=2088(976), A(Bq)=873277(421648), chi^2_nu=1.63
133CEm: E(keV)=294.23, I(%)=0.499(0.024), N=559(1695), A(Bq)=199837(606823), chi^2_nu=4.17
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=990(1248), A(Bq)=141219(179501), chi^2_nu=7.7
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=52820(1310), A(Bq)=401866(46812), chi^2_nu=4.25
133LA: E(keV)=302.38, I(%)=1.61(0.08), N=9978(446), A(Bq)=1136904(147690), chi^2_nu=0.9
133CEm: E(keV)=307.3, I(%)=0.94(0.04), N=1432(365), A(Bq)=282040(83104), chi^2_nu=4.18
133CEm: E(keV)=339.03, I(%)=0.98(0.06), N=2488(366), A(Bq)=516535(111840), chi^2_nu=1.84
133CEm: E(keV)=346.39, I(%)=4.17(0.08), N=7983(295), A(Bq)=398377(60836), chi^2_nu=3.58
133CEm: E(keV)=364.19, I(%)=1.26(0.03), N=2356(201), A(Bq)=411216(72469), chi^2_nu=1.44
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=2108(241), A(Bq)=309732(55622), chi^2_nu=2.17
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=652(250), A(Bq)=251350(102960), chi^2_nu=2.57
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=1196(50399), A(Bq)=580852(24477052), chi^2_nu=6.67
