135CE: E(keV)=86.97, I(%)=0.418(0.014), N=5837(1095), A(Bq)=1234662(266341), chi^2_nu=12.76
135CE: E(keV)=88.71, I(%)=0.581(0.019), N=8151(1303), A(Bq)=1216486(231398), chi^2_nu=5.16
135CE: E(keV)=118.03, I(%)=0.376(0.022), N=8011(517), A(Bq)=1491385(173151), chi^2_nu=1.17
135CE: E(keV)=119.52, I(%)=1.3(0.09), N=27638(507), A(Bq)=1478473(154588), chi^2_nu=0.84
133CEm: E(keV)=130.803, I(%)=18.0(0.4), N=1460(1048), A(Bq)=5498(4000), chi^2_nu=1.4
137CEm: E(keV)=169.26, I(%)=0.45(0.04), N=1019(559), A(Bq)=144207(81352), chi^2_nu=3.2
135CE: E(keV)=177.99, I(%)=0.059(0.004), N=2288(689), A(Bq)=2483680(801678), chi^2_nu=2.6
135CE: E(keV)=206.5, I(%)=7.77(0.25), N=142906(670), A(Bq)=1215642(124757), chi^2_nu=4.74
137CEm: E(keV)=254.29, I(%)=11.1(0.4), N=28773(344), A(Bq)=189041(21145), chi^2_nu=1.98
135CE: E(keV)=265.56, I(%)=41.8(1.4), N=600603(2228), A(Bq)=1082019(122622), chi^2_nu=41.11
135CE: E(keV)=267.76, I(%)=0.62(0.04), N=17561(2560), A(Bq)=2145618(414239), chi^2_nu=67.54
133BAm: E(keV)=275.925, I(%)=17.69(0.8845), N=3764(608), A(Bq)=16434(3319), chi^2_nu=8.83
135CE: E(keV)=299.11, I(%)=1.25(0.13), N=2995(13578), A(Bq)=198502(900508), chi^2_nu=3.69
135CE: E(keV)=300.07, I(%)=23.5(0.5), N=303680(2120), A(Bq)=1073679(126548), chi^2_nu=31.71
135CE: E(keV)=379.79, I(%)=1.55(0.05), N=14134(227), A(Bq)=976893(141915), chi^2_nu=1.36
135CE: E(keV)=387.81, I(%)=0.606(0.016), N=4885(218), A(Bq)=886910(135968), chi^2_nu=1.85
135CE: E(keV)=398.05, I(%)=0.497(0.019), N=4524(268), A(Bq)=1036324(170255), chi^2_nu=1.99
135CE: E(keV)=400.02, I(%)=0.318(0.014), N=1984(211), A(Bq)=715000(135246), chi^2_nu=0.49
137CEg: E(keV)=436.59, I(%)=0.25(0.012), N=307(214), A(Bq)=159994(115600), chi^2_nu=1.58
137CEg: E(keV)=447.15, I(%)=1.68(0.084), N=3139(130), A(Bq)=252270(46418), chi^2_nu=1.11
135CE: E(keV)=459.08, I(%)=0.117(0.013), N=859(139), A(Bq)=1026540(272388), chi^2_nu=0.97
135CE: E(keV)=465.2, I(%)=0.092(0.021), N=646(140), A(Bq)=1002270(364610), chi^2_nu=0.68
135LA: E(keV)=480.51, I(%)=1.52(0.076), N=4669(580), A(Bq)=461453(105269), chi^2_nu=1.85
135CE: E(keV)=483.58, I(%)=1.86(0.06), N=13720(881), A(Bq)=1120218(223591), chi^2_nu=19.43
135CE: E(keV)=485.02, I(%)=0.209(0.021), N=3673(1276), A(Bq)=2681903(1092774), chi^2_nu=433.73
135CE: E(keV)=505.92, I(%)=0.053(0.004), N=239(519), A(Bq)=738278(1612089), chi^2_nu=15.09
135CE: E(keV)=511.0, I(%)=0.76(0.12), N=5851(90159), A(Bq)=1282088(19758710), chi^2_nu=3.59
133LA: E(keV)=511.0, I(%)=14.4(1.6), N=2142(89532), A(Bq)=25255(1055648), chi^2_nu=2.39
135CE: E(keV)=518.05, I(%)=13.6(0.6), N=100031(451), A(Bq)=1254176(260810), chi^2_nu=16.0
135CE: E(keV)=528.35, I(%)=0.125(0.009), N=613(167), A(Bq)=865517(305805), chi^2_nu=2.53
135CE: E(keV)=546.0, I(%)=0.65(0.03), N=4316(137), A(Bq)=1242914(279781), chi^2_nu=1.64
135CE: E(keV)=562.79, I(%)=0.146(0.013), N=485(314), A(Bq)=657424(456227), chi^2_nu=13.1
135CE: E(keV)=566.87, I(%)=0.61(0.03), N=2861(343), A(Bq)=940812(247650), chi^2_nu=12.88
135CE: E(keV)=572.26, I(%)=10.4(0.4), N=66481(393), A(Bq)=1305287(306031), chi^2_nu=14.62
135CE: E(keV)=577.09, I(%)=5.14(0.19), N=31804(390), A(Bq)=1283728(304244), chi^2_nu=13.47
135CE: E(keV)=604.56, I(%)=2.8(0.13), N=18014(528), A(Bq)=1460502(371505), chi^2_nu=4.47
135CE: E(keV)=606.76, I(%)=18.8(0.6), N=115262(505), A(Bq)=1401822(352577), chi^2_nu=9.38
135CE: E(keV)=621.85, I(%)=0.39(0.03), N=2102(144), A(Bq)=1294272(360025), chi^2_nu=2.56
135CE: E(keV)=665.6, I(%)=0.21(0.04), N=3591(205452), A(Bq)=4725840(270385228), chi^2_nu=0.93
135CE: E(keV)=665.79, I(%)=3.01(0.21), N=10245(202358), A(Bq)=941219(18592872), chi^2_nu=0.47
132CS: E(keV)=667.714, I(%)=97.59(4.8795), N=3774(345547), A(Bq)=10707(980371), chi^2_nu=0.5
135CE: E(keV)=684.33, I(%)=0.38(0.018), N=1880(79), A(Bq)=1450940(433412), chi^2_nu=1.25
135CE: E(keV)=718.82, I(%)=0.405(0.018), N=2043(103), A(Bq)=1648340(523283), chi^2_nu=2.22
135CE: E(keV)=773.0, I(%)=0.13(0.013), N=175(440), A(Bq)=519602(1321394), chi^2_nu=2.29
135CE: E(keV)=773.9, I(%)=0.217(0.021), N=1311(476), A(Bq)=2338334(1186178), chi^2_nu=1.54
135CE: E(keV)=777.89, I(%)=0.364(0.022), N=1196(339), A(Bq)=1287211(577919), chi^2_nu=0.6
135CE: E(keV)=783.59, I(%)=10.6(0.4), N=48874(376), A(Bq)=1837745(636224), chi^2_nu=12.94
137CEm: E(keV)=824.82, I(%)=0.45(0.0225), N=799(348), A(Bq)=798575(456843), chi^2_nu=9.52
135CE: E(keV)=828.38, I(%)=5.14(0.19), N=22865(288), A(Bq)=2027372(749732), chi^2_nu=5.98
135CE: E(keV)=834.9, I(%)=0.109(0.017), N=635(130), A(Bq)=2706752(1227300), chi^2_nu=8.86
135CE: E(keV)=845.06, I(%)=0.13(0.013), N=536(112), A(Bq)=1973900(877637), chi^2_nu=3.33
135CE: E(keV)=871.35, I(%)=3.3(0.14), N=13758(262), A(Bq)=2155330(847026), chi^2_nu=14.22
135CE: E(keV)=905.87, I(%)=1.61(0.06), N=6388(86), A(Bq)=2265827(929217), chi^2_nu=1.38
135CE: E(keV)=964.89, I(%)=0.33(0.018), N=1338(42), A(Bq)=2735128(1212983), chi^2_nu=1.2
135CE: E(keV)=984.3, I(%)=0.084(0.008), N=289(30), A(Bq)=2449250(1159528), chi^2_nu=0.74
135CE: E(keV)=1149.58, I(%)=0.67(0.03), N=2087(36), A(Bq)=3444382(1829999), chi^2_nu=1.26
135CE: E(keV)=1171.42, I(%)=0.196(0.009), N=565(57), A(Bq)=3370807(1860479), chi^2_nu=0.98
135CE: E(keV)=1173.92, I(%)=0.184(0.013), N=417(56), A(Bq)=2667010(1502809), chi^2_nu=1.54
135CE: E(keV)=1184.09, I(%)=1.09(0.05), N=3281(49), A(Bq)=3635002(1989749), chi^2_nu=2.78
135CE: E(keV)=1214.13, I(%)=0.1(0.013), N=282(31), A(Bq)=3673142(2158332), chi^2_nu=2.18
135CE: E(keV)=1466.9, I(%)=0.213(0.013), N=488(59), A(Bq)=5449870(3743254), chi^2_nu=2.39
