#ZVView-data-copy:   9-Jan-2019 12:32:42
#=======================================
#
#name:   57-LA-139(P,N)58-CE-139-G,M+,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  8
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         41.66         0.54      0.04771      0.00573  # 2017,F.Tarkanyi+         ## D4375004
          42.9         0.52      0.03024      0.00385  # 2017,F.Tarkanyi+         ## D4375004
         43.73         0.51      0.03138      0.00409  # 2017,F.Tarkanyi+         ## D4375004
         44.94         0.49       0.0227      0.00327  # 2017,F.Tarkanyi+         ## D4375004
         45.74         0.48      0.02907      0.00429  # 2017,F.Tarkanyi+         ## D4375004
         47.05         0.46      0.01639      0.00299  # 2017,F.Tarkanyi+         ## D4375004
         48.39         0.44      0.02333      0.00408  # 2017,F.Tarkanyi+         ## D4375004
         49.57         0.42      0.03247      0.00564  # 2017,F.Tarkanyi+         ## D4375004
         50.81          0.4      0.01708      0.00336  # 2017,F.Tarkanyi+         ## D4375004
         52.15         0.38      0.03113      0.00543  # 2017,F.Tarkanyi+         ## D4375004
         53.67         0.36      0.01647      0.00237  # 2017,F.Tarkanyi+         ## D4375004
         54.76         0.34      0.03049       0.0062  # 2017,F.Tarkanyi+         ## D4375004
         55.83         0.32      0.01264      0.00252  # 2017,F.Tarkanyi+         ## D4375004
          57.5          0.3      0.02183      0.00457  # 2017,F.Tarkanyi+         ## D4375004
          59.8         0.26       0.0135      0.00274  # 2017,F.Tarkanyi+         ## D4375004
         62.02         0.23      0.02014       0.0043  # 2017,F.Tarkanyi+         ## D4375004
         64.09          0.2      0.01446      0.00304  # 2017,F.Tarkanyi+         ## D4375004
//
#-------------------------------------------------------------------------------
#
#name:   57-LA-139(P,5N)58-CE-135,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  24
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         33.73         0.66      0.00028         4e-5  # 2017,F.Tarkanyi+         ## D4375005
         34.74         0.64      0.00045         7e-5  # 2017,F.Tarkanyi+         ## D4375005
         36.24         0.62       0.0005         6e-5  # 2017,F.Tarkanyi+         ## D4375005
         37.19          0.6      0.00094      0.00011  # 2017,F.Tarkanyi+         ## D4375005
         38.55         0.58      0.00328      0.00037  # 2017,F.Tarkanyi+         ## D4375005
         39.45         0.57      0.00752      0.00085  # 2017,F.Tarkanyi+         ## D4375005
          40.8         0.55      0.01617      0.00182  # 2017,F.Tarkanyi+         ## D4375005
         41.66         0.54      0.03253      0.00366  # 2017,F.Tarkanyi+         ## D4375005
          42.9         0.52      0.08367       0.0094  # 2017,F.Tarkanyi+         ## D4375005
         43.73         0.51      0.12168      0.01367  # 2017,F.Tarkanyi+         ## D4375005
         44.94         0.49      0.16896      0.01897  # 2017,F.Tarkanyi+         ## D4375005
         45.74         0.48       0.2047      0.02298  # 2017,F.Tarkanyi+         ## D4375005
         47.05         0.46      0.24093      0.02705  # 2017,F.Tarkanyi+         ## D4375005
         48.39         0.44      0.30269      0.03399  # 2017,F.Tarkanyi+         ## D4375005
         49.57         0.42      0.32723      0.03674  # 2017,F.Tarkanyi+         ## D4375005
         50.81          0.4      0.36724      0.04123  # 2017,F.Tarkanyi+         ## D4375005
         52.15         0.38      0.39837      0.04472  # 2017,F.Tarkanyi+         ## D4375005
         53.67         0.36      0.38416      0.04313  # 2017,F.Tarkanyi+         ## D4375005
         54.76         0.34      0.40324      0.04527  # 2017,F.Tarkanyi+         ## D4375005
         55.83         0.32      0.39455       0.0443  # 2017,F.Tarkanyi+         ## D4375005
          57.5          0.3      0.35906      0.04031  # 2017,F.Tarkanyi+         ## D4375005
          59.8         0.26      0.32476      0.03646  # 2017,F.Tarkanyi+         ## D4375005
         62.02         0.23      0.25027       0.0281  # 2017,F.Tarkanyi+         ## D4375005
         64.09          0.2       0.2114      0.02374  # 2017,F.Tarkanyi+         ## D4375005
//
#-------------------------------------------------------------------------------
#
#name:   57-LA-139(P,6N)58-CE-134,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  7
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         53.67         0.36       0.0552      0.01085  # 2017,F.Tarkanyi+         ## D4375006
         54.76         0.34      0.07109      0.01354  # 2017,F.Tarkanyi+         ## D4375006
         55.83         0.32       0.1174      0.02254  # 2017,F.Tarkanyi+         ## D4375006
          57.5          0.3      0.14481      0.02701  # 2017,F.Tarkanyi+         ## D4375006
          59.8         0.26      0.22118      0.03355  # 2017,F.Tarkanyi+         ## D4375006
         62.02         0.23      0.25628      0.03421  # 2017,F.Tarkanyi+         ## D4375006
         64.09          0.2      0.27151      0.03652  # 2017,F.Tarkanyi+         ## D4375006
//
#-------------------------------------------------------------------------------
#
#name:   57-LA-139(P,X)57-LA-135,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          40.8         0.55      0.00174      0.00038  # 2017,F.Tarkanyi+         ## D4375008
         45.74         0.48      0.01633      0.00195  # 2017,F.Tarkanyi+         ## D4375008
         47.05         0.46      0.02463      0.00295  # 2017,F.Tarkanyi+         ## D4375008
         48.39         0.44      0.02116      0.00251  # 2017,F.Tarkanyi+         ## D4375008
         49.57         0.42      0.02796      0.00329  # 2017,F.Tarkanyi+         ## D4375008
         50.81          0.4      0.02817      0.00331  # 2017,F.Tarkanyi+         ## D4375008
         52.15         0.38      0.03159       0.0037  # 2017,F.Tarkanyi+         ## D4375008
         53.67         0.36      0.04697      0.00547  # 2017,F.Tarkanyi+         ## D4375008
         54.76         0.34      0.06598      0.00768  # 2017,F.Tarkanyi+         ## D4375008
         55.83         0.32      0.06615      0.00765  # 2017,F.Tarkanyi+         ## D4375008
          57.5          0.3      0.06585      0.00764  # 2017,F.Tarkanyi+         ## D4375008
          59.8         0.26      0.08915      0.01037  # 2017,F.Tarkanyi+         ## D4375008
         62.02         0.23      0.08026      0.00942  # 2017,F.Tarkanyi+         ## D4375008
         64.09          0.2       0.0783      0.00917  # 2017,F.Tarkanyi+         ## D4375008
//
#-------------------------------------------------------------------------------
#
#name:   57-LA-139(P,X)56-BA-133-M,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  23
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         34.74         0.64      0.00011       0.0001  # 2017,F.Tarkanyi+         ## D4375010
         36.24         0.62      0.00061         7e-5  # 2017,F.Tarkanyi+         ## D4375010
         37.19          0.6      0.00119       0.0002  # 2017,F.Tarkanyi+         ## D4375010
         38.55         0.58      0.00183      0.00025  # 2017,F.Tarkanyi+         ## D4375010
         39.45         0.57      0.00255      0.00032  # 2017,F.Tarkanyi+         ## D4375010
          40.8         0.55      0.00302       0.0004  # 2017,F.Tarkanyi+         ## D4375010
         41.66         0.54      0.00415      0.00056  # 2017,F.Tarkanyi+         ## D4375010
          42.9         0.52      0.00536      0.00072  # 2017,F.Tarkanyi+         ## D4375010
         43.73         0.51      0.00691      0.00086  # 2017,F.Tarkanyi+         ## D4375010
         44.94         0.49      0.00704       0.0009  # 2017,F.Tarkanyi+         ## D4375010
         45.74         0.48      0.00852      0.00107  # 2017,F.Tarkanyi+         ## D4375010
         47.05         0.46      0.00878      0.00117  # 2017,F.Tarkanyi+         ## D4375010
         48.39         0.44      0.00956      0.00118  # 2017,F.Tarkanyi+         ## D4375010
         49.57         0.42       0.0098      0.00134  # 2017,F.Tarkanyi+         ## D4375010
         50.81          0.4      0.01003      0.00163  # 2017,F.Tarkanyi+         ## D4375010
         52.15         0.38      0.01023      0.00144  # 2017,F.Tarkanyi+         ## D4375010
         53.67         0.36      0.00895      0.00116  # 2017,F.Tarkanyi+         ## D4375010
         54.76         0.34      0.01015      0.00131  # 2017,F.Tarkanyi+         ## D4375010
         55.83         0.32      0.00871      0.00117  # 2017,F.Tarkanyi+         ## D4375010
          57.5          0.3      0.00742      0.00099  # 2017,F.Tarkanyi+         ## D4375010
          59.8         0.26      0.00732      0.00098  # 2017,F.Tarkanyi+         ## D4375010
         62.02         0.23      0.00758      0.00101  # 2017,F.Tarkanyi+         ## D4375010
         64.09          0.2      0.00573       0.0009  # 2017,F.Tarkanyi+         ## D4375010
//
#-------------------------------------------------------------------------------
#
#name:   57-LA-139(P,X)56-BA-133,CUM,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  17
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          40.8         0.55      0.00416      0.00067  # 2017,F.Tarkanyi+         ## D4375011
          42.9         0.52      0.00816       0.0011  # 2017,F.Tarkanyi+         ## D4375011
         43.73         0.51      0.00957      0.00121  # 2017,F.Tarkanyi+         ## D4375011
         44.94         0.49      0.01039      0.00127  # 2017,F.Tarkanyi+         ## D4375011
         45.74         0.48      0.01406      0.00185  # 2017,F.Tarkanyi+         ## D4375011
         47.05         0.46      0.01654      0.00235  # 2017,F.Tarkanyi+         ## D4375011
         48.39         0.44      0.01482      0.00187  # 2017,F.Tarkanyi+         ## D4375011
         49.57         0.42      0.00928      0.00214  # 2017,F.Tarkanyi+         ## D4375011
         50.81          0.4      0.01248      0.00165  # 2017,F.Tarkanyi+         ## D4375011
         52.15         0.38       0.0146      0.00172  # 2017,F.Tarkanyi+         ## D4375011
         53.67         0.36      0.00965      0.00136  # 2017,F.Tarkanyi+         ## D4375011
         54.76         0.34      0.01328      0.00158  # 2017,F.Tarkanyi+         ## D4375011
         55.83         0.32      0.01256      0.00154  # 2017,F.Tarkanyi+         ## D4375011
          57.5          0.3      0.01077      0.00131  # 2017,F.Tarkanyi+         ## D4375011
          59.8         0.26      0.01209      0.00146  # 2017,F.Tarkanyi+         ## D4375011
         62.02         0.23      0.01155      0.00136  # 2017,F.Tarkanyi+         ## D4375011
         64.09          0.2      0.01426      0.00174  # 2017,F.Tarkanyi+         ## D4375011
//
#-------------------------------------------------------------------------------
