#Target,Product,E [MeV],unc_E [MeV],XS [mb],unc_XS [mb]
Al01,22NA,55.7358698383,0.405698391076,27.8778920672,2.81251033529
Al03,22NA,52.3374177041,0.426283474689,26.4703648861,6.01595171267
Al04,22NA,50.5736820047,0.437381971646,28.0707759904,6.31375100312
Al06,22NA,46.9057530185,0.462761778077,30.1176125227,5.67878877027
Al07,22NA,44.2808483126,0.484150525079,33.5796071007,4.70779515723
Al08,22NA,41.5144718565,0.509464911473,35.9985197091,5.32164329394
Al09,22NA,38.6204804807,0.539486989603,37.7040445273,5.02326257323
Al10,22NA,35.513794083,0.576447898338,27.5392938924,6.25019724871
Al02,24NA,54.0568003688,0.415602702328,7.71283972378,0.476369929776
Al03,24NA,52.3374177041,0.426283474689,6.76139653679,0.41155119195
Al04,24NA,50.5736820047,0.437381971646,5.90037416962,0.392191761844
Al05,24NA,48.763358884,0.448873438073,5.0982324546,0.426288674344
Al06,24NA,46.9057530185,0.462761778077,4.08476989372,0.457041206438
Al07,24NA,44.2808483126,0.484150525079,2.77368330767,0.327597083944
Al08,24NA,41.5144718565,0.509464911473,1.80174634237,0.309157835228
Al09,24NA,38.6204804807,0.539486989603,1.27513652611,0.343830261807
Al10,24NA,35.513794083,0.576447898338,0.757056343979,0.295926356792
