# p + 139La: Production of 139Ce - Total
# Q-value    =-1.06073E+00 mass= 138.906655
# E-threshold= 1.06843E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 1.21182E-05
 3.00000E+00 1.24132E-02
 4.00000E+00 5.35721E-01
 5.00000E+00 5.61011E+00
 6.00000E+00 2.72746E+01
 7.00000E+00 8.38059E+01
 8.00000E+00 1.89672E+02
 9.00000E+00 3.33260E+02
 1.00000E+01 4.23159E+02
 1.10000E+01 4.11771E+02
 1.20000E+01 3.05159E+02
 1.30000E+01 2.01771E+02
 1.40000E+01 1.40446E+02
 1.50000E+01 1.06693E+02
 1.60000E+01 8.93065E+01
 1.70000E+01 8.06114E+01
 1.80000E+01 7.51626E+01
 1.90000E+01 7.16785E+01
 2.00000E+01 6.89456E+01
 2.20000E+01 6.45842E+01
 2.40000E+01 6.05564E+01
 2.60000E+01 5.69419E+01
 2.80000E+01 5.29455E+01
 3.00000E+01 4.90549E+01
 3.50000E+01 4.09545E+01
 4.00000E+01 3.44439E+01
 4.50000E+01 2.93814E+01
 5.00000E+01 2.50542E+01
 5.50000E+01 2.14921E+01
 6.00000E+01 1.84630E+01
 6.50000E+01 1.63900E+01
 7.00000E+01 1.40951E+01
 7.50000E+01 1.24905E+01
 8.00000E+01 1.07750E+01
 9.00000E+01 8.52378E+00
 1.00000E+02 6.96927E+00
 1.10000E+02 5.78935E+00
 1.20000E+02 4.91859E+00
 1.30000E+02 4.29061E+00
 1.40000E+02 3.82514E+00
 1.50000E+02 3.42200E+00
 1.60000E+02 3.10480E+00
 1.80000E+02 2.55062E+00
 2.00000E+02 2.16587E+00
